Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
ABCP11,Shoppings,6410,"24,70%","9,33%",70,301.852.000,72.501,1,"3.957,79","1.294,47","32,71%","2,76%","Avenida Industrial, 600, Centro, Santo André - SP"
AFCR11,Híbrido,10315,"11,23%","0,00%",99,186.437.000,0,0,000,000,"0,00%","0,00%",
AFHI11,Títulos e Val. Mob.,9420,"9,39%","14,82%",99,284.432.000,748.441,0,000,000,"0,00%","0,00%",
AIEC11,Lajes Corporativas,6166,"14,90%","15,16%",65,297.509.000,338.942,2,"12.608,50","2.260,90","17,93%","0,00%","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP,Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ"
ALMI11,Lajes Corporativas,84800,"1,87%","0,00%",42,94.278.100,26.527,1,"2.083,31",17158,"8,24%","97,07%","Avenida Almirante Barroso, 81, Sem Complemento, Centro, Rio De Janeiro/RJ, Brasil, 20031-004"
ALZM11,Títulos e Val. Mob.,8398,"13,58%","7,33%",91,58.046.300,161.972,0,000,000,"0,00%","0,00%",
APTO11,Híbrido,830,"15,15%","15,47%",83,33.306.700,67.856,6,"12.852,10","1.001,32","7,79%","0,00%","Rua do Rócio nº 423 e Rua Fidêncio Ramos nº 420, no 28º Subdistrito - Jaridm Paulista, São Paulo - SP,Rua Jerônimo da Veiga nº 248, no 28º Subdistrito Jardim Paulista, São Paulo - SP,Rua Pedroso Alvarenga nºs 1256 e 1274, no 28º Subdistrito - Jardim Paulista, São Paulo - SP,Alameda Fernão Cardim, 70  Jardim Paulista  Estado de São Paulo,Rua Leopoldo Couto de Magalhães Júnior nº1098 e Rua Lopes Neto nº390, 28º Subdistrito - Jardim Paulista, São Paulo - SP,Alameda Fernão Cardim, 70 e 72  Jardim Paulista  Estado de São Paulo"
ARCT11,Híbrido,8713,"13,66%","14,62%",87,323.093.000,525.016,9,37615,3260,"8,67%","0,00%","Rodovia GO-070, Km 2 Qd. CH, Lt. 444, , Goiânia, GO, 74470-260,Rodovia Washington Luis KM 198, , Corumbataí, SP, 13540-000,Av. Santos Dumont 4305, Mirassol, SP, 15135-160,Rua Professor Luciano Prata 204, São Paulo, SP, 02510-020,Av. Costa e Silva 1275, Campo Grande, MS, 79050-410,Av. Perimetral Norte 10001, Goiânia, GO, 74583-285,Rod. Juscelino Kubitscheck de Oliveira - BR 364, Frutal, MG, 38200-000,Rodovia BR 060 KM 504, Goiânia, GO, 75800-001,Rodovia BR 020 572, Caucaia, CE, 061663-015"
ASMT11,Híbrido,6870,"13,49%","6,65%",82,69.889.600,5.479,3,"6.412,87",73400,"11,45%","0,00%","Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha I, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170,Avenida Independencia, 565, Imóvel Porto Alegre, Independência, Porto Alegre/RS, Brasil, 00090-035,Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha Ii, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170"
ATSA11,Shoppings,7495,"2,31%","0,47%",92,131.248.000,472,1,"3.831,45",10399,"2,71%","21,35%","Rua Giovanni Battista Pirelli, 155 - Vila Homero Thon - Santo André - SP"
