index,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
204,LGCP11,Logística,7499,"14,81%","9,74%",73,204.937.000,219.740,5,"2.520,22",38499,"15,28%","0,33%","Rod BR 153, S/N Compl. KM 5.5 QD CH LT SALA 01- Bairro Fazenda Retiro CEP: 74.620-430 Goiânia  GO ,RUA SIMAO ANTONIO, 255  CINCAO CEP: 32.371-610 - CONTAGEM  MG,AV. BRASIL, n.41.432 LOT 1 PARTE 2 PAL 48862 LOT 1 PARTE 1 PAL 48862 Bairro CAMPO GRANDE - Rio de Janeiro - RJ- CEP: 23.078-001,RUA AMÂNCIO GAIOLLI, 426 - ÁGUA CHATA CEP:07.251-250 - GUARULHOS - SP,RODOVIA BR 262, nº 222 VILA BETANIA CEP: 29.136-930 VIANA/ES"
365,VILG11,Logística,8519,"9,14%","9,68%",76,1.277.630.000,2.404.960,16,"2.193,22",24679,"11,25%","9,71%","Cidade Cachoeirinha, Rio Grande do Sul, RS 118, nº 12760,R. Almerim, 100, Guarulhos - SP,Rua Kida, 191 - Guarulhos - São Paulo, Rodovia BR-493 (RioMagé), km 3,5, Duque de Caxias - RJ,Rodovia Fernão Dias, km 891,5, Extrema - MG,Av. Dr. Kenkiti Shimomoto, Nº 1.678, Osasco - SP,Rodovia Castello Branco, km 57, em São Roque, SP,Est. Vargem do João Pinto, Fazenda Matão Gleba 2, Extrema - MG,Cidade de Cariacica, n° 10.288, km 290, RD. Governador Mario Covas - ES,Município de Serra, no estado do Espírito Santo,Rodovia Fernão Dias, km 933, Extrema - MG,Av. Marginal Rodovia dos Bandeirantes, Nº 800, Jundiaí - SP,Rodovia Br 316 - KM 23/24 Bairro Campestre - Benevides/PA,Cidade de Eldorado do Sul, na Av. Industrial Belgraf, n° 765 - RS,Avenida das Quaresmeiras, n. 200, Pouso Alegre - MG,Rodovia Armínio Guilherme, 82  Ipojuca, PE"
257,PQAG11,Logística,5216,"9,63%","9,66%",91,729.817.000,5.528,1,"11.598,20","1.088,25","9,38%","0,00%","Av. Alexandre Colares, 1188, Parque Anhanguera, São Paulo-SP"
210,LVBI11,Logística,9431,"9,63%","9,37%",82,1.110.520.000,2.102.400,9,"2.761,23",29196,"10,57%","0,51%","Rodovia Anhanguera, km 43, Cajamar, São Paulo,Avenida Portugal, 400, Itaqui, Itapevi/SP, Brasil, 06696-060,Avenida Papa João XXIII, 3059, Loteamento Industrial Coral, Maua/SP, Brasil, 09370-800,Avenida Juiz Marco Tulio Isaac, 7001, Riacho Da Areia, Betim/MG, Brasil, 32671-072,Rua Manoel Borba Gato, 100, Esplanada Das Bandeiras, Guarulhos/SP, Brasil, 07044-220,Estrada Dos Alpes, 320, Jandira, Barueri/SP, Brasil, 00006-423,Rua Pedro De Alcantara Meira, 1001, Fazenda Velha, Araucaria/PR, Brasil, 83704-530,Rodovia Fernão Dias, KM 947.5, Extrema, MG, 37640-000,Avenida Mutinga 4935, Bairro Pirituba, Pirituba, São Paulo/SP, Brasil, 05110-903"
153,HLOG11,Logística,8367,"9,99%","9,25%",72,355.598.000,41.687,5,"1.745,83",20407,"11,69%","1,26%","Rua Citlog, 333, Bairro Aeroporto, Varginha - MG,Rua Costa Barros, 3089, Vila Prudente, São Paulo - SP,Rodovia Engenheiro Ermínio de Oliveira Penteado, SP-073, Salto - SP,Galpão na Rodovia Miguel Melhado Campos, SP-324, Km 81,5, Itupeva - SP"
387,XPLG11,Logística,9251,"9,00%","9,20%",81,2.507.120.000,4.014.470,17,"1.949,63",17943,"9,20%","6,28%","Avenida Osvaldo José do Amaral, SN - Areias São José - SC,Bairro dos Tenentes no Município de Extrema/MG ,Estrada Miguel Pereira nº 34, Bairro São Miguel, CEP: 23.890-000,Via Jose Luiz Galvão, 1905 - Ribeirão Preto - SP,Avenida OL-1 -Duque de Caxias, RJ,Estrada Tenente Marques, 1818 - Santana de Parnaiba - SP,Rod. dos Bandeirantes, km 34 - Cajamar, SP,Bairro dos Tenentes no Município de Extrema/MG ,Rua Lennie Queiroz, 333 - Cachoeirinha - RS,Rua Joao de Padula, 245 - Americana - SP,Avenida Ceci, 1649 - Barueri - SP,ROD BR101, Sul Km 96,4, 5.225 - Cabo de Santo Agostinho, PE,Estrada Municipal do Mandu, 2550 - Itapeva - MG,Rod. dos Bandeirantes, km 34,Rod. dos Bandeirantes, km 34 - Cajamar, SP,ROD BR101, Sul Nº 2.220 - Cabo de Santo Agostinho, PE,km 26 + 175,35m e o km 25 + 759,35m da Rodovia Anhanguera"
95,EURO11,Logística,23747,"9,51%","9,11%",73,91.173.300,79.354,7,77064,8045,"10,44%","0,00%","Rua Comandante Vergueiro da Cruz, 206,Rodovia Anhanguera , S/N KM 17,5,Av. Interlagos, 4455,Rodovia Anhanguera, s/n km 17,5,Av. Interlagos, 4.455,Rua Sargento Aquino, 136,Rua Sargento Aquino, 135/Rua Comandante Vergueiro da Cruz, 206"
130,GTLG11,Logística,9545,"8,84%","8,74%",102,684.663.000,162.223,5,"3.943,56",30741,"7,80%","3,81%","Av. Piracema, 155 - Barueri - SP,Av. Piracema, 155 - Barueri - SP,Rodovia Anhanguera, Km 31,7 - Cajamar - São Paulo,Av. Hélio Ossamu Daikuara, 1.445 - Embu das Artes - São Paulo,Rua José Semião Rodrigues Agostinho, 1370 - Embu das Artes - São Paulo"
43,BRCO11,Logística,9313,"8,84%","8,55%",77,1.376.350.000,2.677.200,11,"3.086,39",31674,"10,26%","12,06%","Rodovia Dom Gabriel Paulino Bueno Couto nº 1936 - Itupeva - SP,Avenida Saul Elkin, Londrina - PR,Avenida Helio Ossamu Daikuara nº 1.135, Embu da Artes - SP,Rod. BA-535. km 23, Lauro de Freitas - BA,Rua Olympia Semerano, nº 381, 675 e 7337, São Paulo - SP,Estrada Turística do Jaraguá, nº 50, Jaraguá, São Paulo - SP,Rodovia Dom Gabriel Paulino Bueno Couto, nº 1606, Itupeva - SP,Avenida Tabai-Canoas (BR 386), nº 1.200, Canoas - RS,Avenida Marginal Direita do Tietê, nº 342, São Paulo - SP,Avenida D com acesso a Rodovia Presidente Dutra, KM 298, Resende - RJ,Avenida Wilson Tavares Ribeiro, nº 1.651 - Contagem - MG"
32,BLCP11,Logística,9100,"5,41%","4,42%",81,208.962.000,0,2,"3.014,16",19989,"6,63%","0,00%","Estrada Municipal Thereza Thomazella, 432, Bairro Dos Pires, Extrema/MG, Brasil, 37640-000,Rodovia Dom Gabriel Paulino Bueno Couto, Km 80,24, Cabreuva/SP, Brasil, 13315-000"
77,CXTL11,Logística,39000,"1,54%","38,38%",82,20.902.800,6.521,1,"2.443,91",31159,"12,75%","0,00%","Rua Projetada A, 240, Distrito Industrial - Duque de Caxias/RJ"
246,OULG11,Logística,3817,"2,69%","3,98%",57,94.710.600,61.787,2,"1.037,27",8603,"8,29%","0,00%","Lote nº 21 - Distrito Industrial - Bairro Benfica - Juiz de Fora/MG,Rod. Washington Luiz, km 114, Via Projetada Aterial PD04, nº 3777"
254,PLOG11,Logística,7062,"19,27%","12,65%",66,52.965.000,66.402,1,72365,16546,"22,86%","0,00%","Rodovia PE-060  Km 14,5  Ipojuca, Pernambuco"
