index,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
341,TBOF11,Lajes Corporativas,10150,"-0,11%","1,02%",48634,1.020.080.000,0,1,000,000,"0,00%","15,37%","Avenida Jornalista Roberto Marinho, 85, Sem Complemento, Cidade Monções, São Paulo/SP, Brasil, 04576-010"
344,THRA11,Lajes Corporativas,13850,"2,96%","0,00%",1452,203.973.000,0,0,000,000,"0,00%","0,00%","Av. Engenheiro Luis Carlos Berrini, 105, São Paulo, SP"
83,DOVL11B,Lajes Corporativas,"1.730,00","3,34%","3,08%",144,114.882.000,6.467,2,"6.570,09",57482,"8,75%","29,50%","Av.Gen. Justo, 365, Centro, Rio de Janeiro - RJ,Av.Gen. Justo, 375, Centro, Rio de Janeiro - RJ"
108,FISC11,Lajes Corporativas,16500,"0,15%","0,87%",143,280.499.000,0,4,"20.819,10",63236,"3,04%","6,51%","Rodovia SC 401, ao lado direito da rodovia no sentido Centro/Praia e ao lado direito do empreendimento SC-401 Square Corporate,Rua Alfredo Chaves, 1208 - Caxias do Sul/RS,Rodovia SC 401,Rodovia SC 401, KM 5"
87,EDFO11B,Lajes Corporativas,20000,"9,62%","9,99%",111,47.200.000,2.228,1,"132.460,00","14.029,89","10,59%","0,00%","Avenida Paulista, 1728, São Paulo/SP (14º ANDAR)"
63,CJCT11,Lajes Corporativas,6750,"0,23%","0,00%",103,211.950.000,30.921,1,"10.052,40",40414,"4,02%","50,78%","Av. Magalhães de Castro, 4.800 - São Paulo/SP"
351,TSER11,Lajes Corporativas,10124,"11,04%","10,81%",102,121.994.000,2.809.820,1,"2.671,83",22201,"8,31%","0,00%","Alameda Araguaia, nº 2550 e Avenida Marcos Penteado de Ulhôa Rodrigues, nº 939  Alphaville"
24,BBVJ11,Lajes Corporativas,6299,"0,24%","0,00%",96,197.789.000,0,1,"9.380,79",40414,"4,31%","50,78%","Av. Magalhães de Castro, 4.800 - São Paulo/SP"
55,BTWR11,Lajes Corporativas,10700,"5,26%","4,88%",96,86.591.900,5,1,"4.292,25",24768,"5,77%","0,00%","Rua Qd. B-27, Av. Dep. Jamel Cecílio, 56 - Jardim Goiás, Goiânia"
323,SDIP11,Lajes Corporativas,8800,"1,88%","0,00%",92,371.533.000,0,5,"11.501,50",39197,"3,41%","8,35%"," Rua Itapeva, nº 538  Bela Vista  São Paulo, SP,Rua James Joule, 65 - Berrini - São Paulo - SP,Av. Presidente Juscelino Kubitschek, 1830 e Rua Leopoldo Couto de Magalhês Júnior, 1461, no 28º Subdistrito - Jardim Paulista, São Paulo - SP,Rua Paes Leme, 524, no 45º Subdistrito  Pinheiros, São Paulo  SP,Rua Treze de Maio, nº 1.633  Bela Vista  São Paulo  SP"
94,ERPA11,Lajes Corporativas,12396,"3,67%","4,73%",90,62.094.300,14.254,1,"18.390,10","1.032,54","5,61%","0,00%","Avenida Europa, 105 - Jardim Paulista"
248,PATC11,Lajes Corporativas,6725,"5,11%","5,84%",88,233.857.000,226.257,6,"17.236,00","1.101,71","6,39%","2,90%","Rua Fidêncio Ramos, 308, Vila Olímpia, São Paulo - SP,Rua Pascoal Pais, 525 - São Paulo,R. Gomes de Carvalho, 1996, Vila Olímpia, São Paulo - SP,Alameda Vicente Pinzon, 51, Vila Olímpia, São Paulo - SP,Rua Ministro Jesuíno Cardoso, 454, Vila Olímpia, São Paulo - SP,Avenida Paulista, 1.842 - São Paulo"
103,FFCI11,Lajes Corporativas,18203,"2,32%","0,00%",87,671.817.000,0,9,"16.359,50",97104,"5,94%","22,84%","Rua da Candelária nº 65, Centro, Rio de Janeiro/RJ,Avenida Paulista, 37, São Paulo/SP,Rua Surubim, 373, Brooklin Novo, São Paulo/SP,Alameda Santos, 1.800 - Jardins,Alameda Santos, 1163, Cerqueira César, São Paulo/SP,Praia do Flamengo nº 154, Flamengo, Rio de Janeiro/RJ,Rua Olimpiadas. 205, São Paulo SP,Av. Juscelino Kubitschek, 510, Itaim Bibi, São Paulo/SP,Rua Girassol, 555  Vila Madalena"
241,ONEF11,Lajes Corporativas,17375,"6,45%","6,36%",86,158.286.000,63.103,1,"25.905,90","1.833,60","7,08%","0,00%","Rua Ministro Jesuino Cardoso, 454, São Paulo- SP"
262,PVBI11,Lajes Corporativas,8677,"2,61%","7,86%",84,871.127.000,2.618.590,4,"7.981,26",80417,"10,08%","0,00%","Avenida Brigadeiro Faria Lima, 4440, Itaim Bibi, São Paulo/SP, Brasil, 04538-132,Avenida Brigadeiro Luis Antonio, 3521, Jardim Paulista, Sao Paulo/SP, Brasil, 01401-001,Rua Leopoldo Couto Magalhaes Júnior, 822, Itaim Bibi, São Paulo/SP, Brasil, 04542-000,Avenida Presidente Juscelino Kubitschek, 2041, Vila Olímpia, Sao Paulo/SP, Brasil, 04543-011"
369,VLOL11,Lajes Corporativas,9250,"7,66%","7,66%",83,165.097.000,121.631,1,"15.738,80","1.340,16","8,51%","0,00%","Rua Fidêncio Ramos, 302, Vila Olímpia, 04551-010, São Paulo - SP"
150,HGPO11,Lajes Corporativas,24674,"6,87%","7,29%",82,432.549.000,470.518,2,"34.143,10","2.561,57","7,50%","0,00%","Rua Jerônimo da Veiga, 384 - São Paulo - SP,Rua Amauri, 255 - São Paulo - SP"
