index,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
297,RDPD11,Títulos e Val. Mob.,2690,"48,39%","90,85%",95,28.999.300,18.711,0,000,000,"0,00%","0,00%",
178,ITIT11,Títulos e Val. Mob.,7420,"13,83%","9,23%",98,66.816.700,56.339,0,000,000,"0,00%","0,00%",
306,RNDP11,Títulos e Val. Mob.,14718,"-3,24%","84,38%",76,15.819.100,9.298,0,000,000,"0,00%","0,00%",
309,RPRI11,Títulos e Val. Mob.,9603,"8,21%","8,79%",95,215.276.000,177.335,0,000,000,"0,00%","0,00%",
372,VSEC11,Títulos e Val. Mob.,4400,"-5,03%","8,44%",44,2.760.340,335,0,000,000,"0,00%","0,00%",
188,KCRE11,Títulos e Val. Mob.,9155,"8,81%","8,23%",94,329.580.000,540.706,0,000,000,"0,00%","0,00%",
10,ALZM11,Títulos e Val. Mob.,8398,"13,58%","7,33%",91,58.046.300,161.972,0,000,000,"0,00%","0,00%",
301,REIT11,Títulos e Val. Mob.,18000,"1,50%","62,91%",63,4.732.380,192,0,000,000,"0,00%","0,00%",
266,QIRI11,Títulos e Val. Mob.,7804,"9,53%","5,12%",87,11.706.000,0,0,000,000,"0,00%","0,00%",
380,WSEC11,Títulos e Val. Mob.,9149,"3,26%","4,27%",90,22.474.600,14.655,0,000,000,"0,00%","0,00%",
255,PLRI11,Títulos e Val. Mob.,2298,"-3,21%","31,32%",71,21.929.900,2.989,0,000,000,"0,00%","0,00%",
170,IBFF11,Títulos e Val. Mob.,6640,"8,28%","3,68%",93,44.267.600,0,0,000,000,"0,00%","0,00%",
50,BTCI11,Títulos e Val. Mob.,888,"16,17%","3,47%",88,883.748.000,959.159,0,000,000,"0,00%","0,00%",
293,RCFF11,Títulos e Val. Mob.,8500,"9,80%","3,45%",96,27.472.000,52,0,000,000,"0,00%","0,00%",
140,HCTR11,Títulos e Val. Mob.,8720,"10,84%","17,62%",72,1.925.740.000,4.939.830,0,000,000,"0,00%","0,00%",
169,IBCR11,Títulos e Val. Mob.,7700,"11,71%","17,47%",82,73.798.600,205.836,0,000,000,"0,00%","0,00%",
274,RBHG11,Títulos e Val. Mob.,8336,"10,65%","16,67%",90,144.011.000,252.949,0,000,000,"0,00%","0,00%",
125,GCRI11,Títulos e Val. Mob.,9029,"12,64%","16,60%",96,107.516.000,125.417,0,000,000,"0,00%","0,00%",
193,KIVO11,Títulos e Val. Mob.,8701,"9,24%","16,59%",90,105.728.000,188.564,0,000,000,"0,00%","0,00%",
256,PORD11,Títulos e Val. Mob.,8649,"12,69%","16,53%",89,322.467.000,604.783,0,000,000,"0,00%","0,00%",
123,GCFF11,Títulos e Val. Mob.,6850,"13,18%","16,51%",86,23.194.000,24.527,0,000,000,"0,00%","0,00%",
231,NCHB11,Títulos e Val. Mob.,8528,"13,21%","16,30%",95,144.800.000,362.534,0,000,000,"0,00%","0,00%",
124,GCRA11,Títulos e Val. Mob.,9480,"6,52%","16,30%",97,165.982.000,271.323,0,000,000,"0,00%","0,00%",
18,BARI11,Títulos e Val. Mob.,8225,"14,05%","16,08%",86,381.162.000,754.977,1,000,000,"0,00%","0,00%",
227,MORC11,Títulos e Val. Mob.,9498,"10,94%","16,02%",97,122.709.000,237.330,0,000,000,"0,00%","0,00%",
310,RRCI11,Títulos e Val. Mob.,8333,"12,47%","15,98%",92,40.144.800,70.193,0,000,000,"0,00%","0,00%",
213,MATV11,Títulos e Val. Mob.,8011,"10,97%","15,90%",88,34.124.300,10.598,0,000,000,"0,00%","0,00%",
222,MGCR11,Títulos e Val. Mob.,8099,"11,95%","15,88%",90,115.192.000,92.868,0,000,000,"0,00%","0,00%",
159,HREC11,Títulos e Val. Mob.,7530,"14,01%","15,67%",85,388.304.000,538.647,0,000,000,"0,00%","0,00%",
232,NCRA11,Títulos e Val. Mob.,9278,"6,31%","15,64%",97,42.051.100,191.034,0,000,000,"0,00%","0,00%",
