index,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
162,HSML11,Shoppings,7950,"10,15%","9,94%",82,1.254.560.000,2.213.510,7,"8.255,79",70169,"8,50%","4,20%","Estrada da Floresta, 2320, CEP: 69912900, Floresta Sul, Rio Branco - AC,Avenida Luiz Viana, nº 8544, CEP 41730-101 - Alphaville - Salvador, BA,Av. dos Autonomistas, 1828 - Industrial Autonomistas, Osasco - SP, 06020-010,Av. Menino Marcelo, 3800 - Cidade Universitária, Maceió - AL, 57073-900,Rodovia Raposo Tavares, Km 23, CEP: 06709-015 Lageadinho - Cotia/SP ,Av. Santa Beatriz da Silva, 1501 - São Benedito Uberaba MG,Rua Paranabi, 218-224, CEP: 02307120, Tucuruvi, São Paulo-SP"
105,FIGS11,Shoppings,4599,"10,35%","9,90%",60,131.072.000,125.989,2,"2.009,22",22056,"10,98%","11,12%","Av. Juscelino Kubitscheck de Oliveira, 5.308, Guarulhos - SP,Av. Bartolomeu de Castro, 230, Guarulhos - SP"
1,ABCP11,Shoppings,6410,"24,70%","9,33%",70,301.852.000,72.501,1,"3.957,79","1.294,47","32,71%","2,76%","Avenida Industrial, 600, Centro, Santo André - SP"
185,JRDM11,Shoppings,7849,"8,26%","9,12%",88,198.028.000,25.738,1,"6.786,78",69164,"10,19%","1,20%","Avenida Giovanni Gronchi, 5819, Vila Andrade, São Paulo/SP, Brasil, 05724-003"
211,MALL11,Shoppings,9898,"14,85%","9,12%",82,903.159.000,1.444.710,9,"3.573,52",49889,"13,96%","3,67%",":R. Jacy Teixeira de Camargo, 940 - Jardim do Lago, Campinas - SP, 13050-913,Av. Gov. Agamenon Magalhães, 153 - Santo Amaro, Recife - PE, 50110-000,Rod. dos Metalúrgicos, 1189 - São Geraldo, Volta Redonda - RJ, 27253-005,Av. Comendador Gustavo Paiva, 2990 - Mangabeiras, Maceió - AL, 57032-901,R. Sete de Setembro, 555 - Jardim dos Ipês, Suzano - SP, 08674-210,Estrada do Portela, nº 222, Madureira, Rio de Janeiro - RJ,Av. João Durval Carneiro, 3665, Caseb - Feira de Santana - BA,Rod. Régis Bittencourt, 2643, Jardim Helena - Taboão da Serra - SP,Av. Henrique Terra, 1700 - Palmeiras, Cabo Frio - RJ, 28911-320"
258,PQDP11,Shoppings,"2.006,00","9,56%","9,08%",64,492.499.000,105.786,1,"1.849,86",23157,"12,52%","1,30%","Avenida Guilherme Campos 500, 500, Sem Complemento, Jardim Santa Genebra, Campinas/SP, Brasil, 13087-901"
144,HGBS11,Shoppings,17878,"9,05%","8,83%",81,1.787.800.000,1.737.400,12,"3.501,57",31991,"9,14%","4,77%","Av. Francisco Matarazzo s/n, Bloco B, São Paulo - SP,R Dr. João Ribeiro, 304 - Penha de França, São Paulo - SP,Rua Cap. Pacheco e Chaves, 313 - Mooca, São Paulo - SP,Av. Rio Negro, 1.100, Franca - SP,Rua Sete de Setembro, 555 , Suzano - SP,Rua Manoel da Nobrega, 712, Centro, Diadema - SP,Rua Conselheiro Moreira de Barros, 2.780, São Paulo - SP,Av. José Monteiro Figueiredo, 500 - Duque de Caxias, Cuiabá - MT,Av. Santa Barbara, 777 - Vila Mollon IV, Santa Bárbara D Oeste - SP,Av. das Nações Unidas, 4777, São Paulo - SP,Av. Rotary, 624 - Centro, São Bernardo do Campo - SP,BR-116, 236 - Rio Branco, Novo Hamburgo - RS"
120,FVPQ11,Shoppings,9775,"9,89%","8,79%",51,273.715.000,49.258,1,"4.763,00",87380,"18,35%","4,40%","Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ"
388,XPML11,Shoppings,9970,"7,80%","8,67%",99,2.125.020.000,3.999.760,12,"4.974,28",36535,"7,34%","2,76%","Avenida das Américas 500, Barra da Tijuca, Rio de Janeiro, RJ, 59064-900,Rodovia Washington Luiz 2895, Duque de Caxias, RJ, 25085-008,Rodovia Castello Branco km 60, São Roque, SP, 18147-000,R. Jacy Teixeira de Camargo, 940 - Jardim do Lago, Campinas - SP, 13050-913,Av. Coronel Teixeira, 5705, Ponta Negra, Manaus, AM, 69037-000,Av. Tancredo Neves, 148, Caminho das Árvores - Salvador - Bahia,Avenida Paulista 1230, São Paulo, SP, 01310-100,Av. Magalhaes de Castro 12000, São Paulo, SP, 05502-001,Alameda Euvaldo Luz, 92, Horto, Salvador, BA, 41098-020,Av. Coronel Teixeira, 5705, Ponta Negra, Manaus, AM, 69037-000,Praça Leonor Kaupa 100, São Paulo, SP, 04151-100,Av. Sen. Salgado Filho 2234, Natal, RN, 59064-900"
113,FLRP11,Shoppings,"1.605,00","8,08%","8,56%",88,104.697.000,9.562,1,"2.127,22",18240,"8,57%","1,33%","Rodovia Virgílio Várzea, 587 - Saco Grande II - Monte Verde - Florianópolis"
